datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 03:02:52+08:00,23.19,93.0,23.99,Pagadian
2026-01-01 03:03:03+08:00,26.15,81.0,26.15,Quezon City
2026-01-01 03:03:31+08:00,25.11,83.0,25.84,Surigao City
2026-01-01 03:03:36+08:00,23.87,93.0,24.74,Tacloban City
2026-01-01 03:03:54+08:00,25.51,84.0,26.31,Toledo City
2026-01-01 03:04:06+08:00,24.99,94.0,26.0,Zamboanga City
2026-01-01 04:00:02+08:00,25.25,78.0,25.87,Angeles City
2026-01-01 04:00:04+08:00,24.06,91.0,24.9,Antipolo
2026-01-01 04:00:06+08:00,24.0,94.0,24.91,Bacolod
2026-01-01 04:00:13+08:00,14.8,97.0,14.87,Baguio
2026-01-01 04:00:15+08:00,26.04,85.0,26.04,Bais
2026-01-01 04:00:20+08:00,23.86,88.0,24.6,Batangas City
2026-01-01 04:00:24+08:00,25.55,89.0,26.48,Baybay
2026-01-01 04:00:30+08:00,25.52,86.0,26.37,Bogo
2026-01-01 04:00:32+08:00,23.41,96.0,24.31,Borongan
2026-01-01 04:00:34+08:00,24.45,88.0,25.25,Butuan
2026-01-01 04:00:36+08:00,24.44,76.0,24.92,Cabadbaran
2026-01-01 04:00:38+08:00,23.79,86.0,24.47,Cabanatuan City
2026-01-01 04:00:41+08:00,25.84,87.0,26.75,Cadiz
2026-01-01 04:00:43+08:00,23.84,79.0,24.34,Cagayan de Oro
2026-01-01 04:00:06+08:00,26.1,83.0,26.1,Calamba
2026-01-01 04:00:51+08:00,23.81,93.0,24.67,Calbayog City
2026-01-01 04:00:54+08:00,25.82,82.0,26.6,Caloocan City
2026-01-01 04:01:02+08:00,24.18,90.0,25.0,Catbalogan
2026-01-01 04:01:17+08:00,23.04,88.0,23.7,Dagupan
2026-01-01 04:01:25+08:00,25.05,100.0,26.22,Davao
2026-01-01 04:01:27+08:00,24.82,92.0,25.76,Digos
2026-01-01 04:01:29+08:00,24.8,88.0,25.63,Dipolog
2026-01-01 04:01:31+08:00,25.59,90.0,26.55,Dumaguete
2026-01-01 04:01:38+08:00,25.21,84.0,25.98,General Santos
2026-01-01 04:01:43+08:00,24.58,89.0,25.42,Gingoog City
2026-01-01 04:01:49+08:00,22.36,94.0,23.11,Iligan City
2026-01-01 04:01:52+08:00,24.49,94.0,25.45,Iloilo City
2026-01-01 04:02:02+08:00,23.24,93.0,24.05,Kidapawan
2026-01-01 04:02:03+08:00,23.79,96.0,24.73,Koronadal
2026-01-01 04:02:11+08:00,26.02,89.0,26.02,Lapu-Lapu City
2026-01-01 04:02:14+08:00,24.56,95.0,25.55,Legazpi City
2026-01-01 04:02:20+08:00,24.11,95.0,25.06,Lucena
2026-01-01 04:00:00+08:00,26.59,78.0,26.59,Makati City
2026-01-01 04:02:28+08:00,19.34,96.0,19.84,Malaybalay
2026-01-01 04:01:24+08:00,26.01,81.0,26.01,Manila
2026-01-01 04:02:53+08:00,24.33,91.0,25.19,Ormoc
2026-01-01 04:02:58+08:00,23.08,93.0,23.87,Pagadian
2026-01-01 04:03:09+08:00,25.73,82.0,26.5,Quezon City
2026-01-01 04:03:39+08:00,24.86,83.0,25.57,Surigao City
2026-01-01 04:03:45+08:00,23.74,94.0,24.62,Tacloban City
2026-01-01 04:04:06+08:00,25.56,83.0,26.34,Toledo City
2026-01-01 04:04:21+08:00,25.03,90.0,25.94,Zamboanga City
2026-01-01 05:00:02+08:00,23.9,90.0,24.7,Antipolo
2026-01-01 05:00:03+08:00,23.97,94.0,24.88,Bacolod
2026-01-01 05:00:11+08:00,14.8,97.0,14.87,Baguio
2026-01-01 05:00:13+08:00,26.03,85.0,26.03,Bais
2026-01-01 05:00:20+08:00,23.83,89.0,24.59,Batangas City
2026-01-01 05:00:24+08:00,25.54,89.0,26.47,Baybay
2026-01-01 05:00:32+08:00,25.48,86.0,26.33,Bogo
2026-01-01 05:00:34+08:00,23.38,96.0,24.28,Borongan
2026-01-01 05:00:36+08:00,24.45,85.0,25.17,Butuan
2026-01-01 05:00:38+08:00,24.44,70.0,24.77,Cabadbaran
2026-01-01 05:00:39+08:00,23.79,85.0,24.44,Cabanatuan City
2026-01-01 05:00:43+08:00,25.9,86.0,26.79,Cadiz
2026-01-01 05:00:44+08:00,23.84,80.0,24.37,Cagayan de Oro
2026-01-01 05:00:48+08:00,26.1,83.0,26.1,Calamba
2026-01-01 05:00:52+08:00,23.75,93.0,24.61,Calbayog City
2026-01-01 05:00:54+08:00,25.82,83.0,26.62,Caloocan City
2026-01-01 05:01:04+08:00,24.23,90.0,25.06,Catbalogan
2026-01-01 05:01:10+08:00,25.81,89.0,26.77,Cebu City
2026-01-01 05:01:20+08:00,22.62,91.0,23.31,Dagupan
2026-01-01 05:01:29+08:00,24.86,92.0,25.8,Digos
2026-01-01 05:01:31+08:00,24.79,89.0,25.65,Dipolog
2026-01-01 05:01:34+08:00,25.5,90.0,26.46,Dumaguete
2026-01-01 05:01:44+08:00,24.45,90.0,25.3,Gingoog City
2026-01-01 05:01:50+08:00,22.31,94.0,23.05,Iligan City
2026-01-01 05:01:52+08:00,24.39,94.0,25.34,Iloilo City
